author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
Twitter,"Introducing live 360 video on Twitter and Periscope! 👀 🔄 
https://t.co/dAiZnHIsr7",,28/12/2016 22:06,8.14231e+17,en,,,1439,810
Twitter,"New year, new you, new #Stickers.

#HappyNewYear https://t.co/TbiU9xDcAh",,28/12/2016 17:06,8.14155e+17,en,,,1998,771
Twitter,@danielvielma94 How could we ever forget?,,28/12/2016 07:05,8.14004e+17,en,,,39,13
Twitter,@LisaKDeam @johnrcobb This is giving us all the feels. Love hearing about these kinds of meet ups.,,28/12/2016 07:04,8.14004e+17,en,,,35,12
Twitter,"@addie_hethcoat This is everything. You slay, Addie. You slay. https://t.co/rShIch1NcF",,28/12/2016 07:04,8.14004e+17,en,,,41,17
Twitter,@drienne_ And they called it Corgi love. 🎶 https://t.co/VT8OSz62MY,,28/12/2016 07:03,8.14004e+17,en,,,37,13
Twitter,@RosalieTinelli Pee-Wee Herman ➡️ Broadway ➡️ Winning tickets ➡️ Love Twitter ➡️ We love you back 💙,,28/12/2016 07:03,8.14004e+17,en,,,22,12
Twitter,"Artist. Activist. Princess.
1956-2016

https://t.co/qS500Z1KRH https://t.co/6D1MYguOs7",,27/12/2016 20:00,8.13837e+17,en,,,10013,4669
Twitter,"Genius songwriter. Electric soul. Icon. 

You will be missed.

https://t.co/Lq4yd669D0",,26/12/2016 00:24,8.13179e+17,en,,,7057,3718
Twitter,"The block. The shot. The rematch.

Tune into ABC and watch @Warriors and @Cavs exchange gifts on Christmas Day.… https://t.co/HkLRzxZApy",,25/12/2016 18:45,8.13093e+17,en,,,1008,241
Twitter,"Send love.
Send joy.
Send n...ice holiday wishes. https://t.co/sRmDplmRgF",,24/12/2016 16:01,8.1269e+17,en,,,13508,6936
Twitter,"The perfect start to the weekend.

Catch the recap from last night’s #NYGvsPHI live stream.👇 https://t.co/vtoZBDEeLF",,24/12/2016 01:28,8.1247e+17,en,,,870,190
Twitter,"That's the game and a wrap for #TNF LIVE on Twitter!

Thanks for joining us on Thursdays this season.",,23/12/2016 04:38,8.12155e+17,en,,,1108,190
Twitter,"One half down. One to go.

Catch the second half of #NYGvsPHI streaming LIVE on Twitter. 👇

https://t.co/WdzHD98QAg",,23/12/2016 03:05,8.12132e+17,en,,,525,145
